255,255,255
0,0,143
182,0,0
0,140,0
195,79,255
1,165,202
236,157,0
118,255,0
89,83,84
255,117,152
148,0,115
0,243,204
72,83,255
166,161,154
0,67,1
237,183,255
138,104,0
97,0,163
92,0,17
255,245,133
0,123,105
146,184,83
171,212,255
126,121,163
255,84,1
10,87,125
168,97,92
231,0,185
255,195,166
91,53,0
0,180,133
126,158,255
231,2,92
184,216,183
192,130,183
111,137,91
138,72,162
91,50,90
220,138,103
79,92,44
0,225,115
255,104,255
126,193,193
120,58,61
183,252,255
136,9,255
111,140,144
172,168,204
148,67,5
0,80,74
1,0,250
86,81,148
202,216,0
9,123,192
176,255,155
173,147,75
196,104,0
218,203,215
0,186,0
173,82,137
131,119,114
156,0,59
144,110,254
213,195,115
254,172,203
0,233,255
193,146,255
130,142,0
100,0,65
87,104,120
125,94,120
0,113,52
122,90,59
53,46,119
209,72,57
87,0,227
138,178,143
190,0,205
130,23,0
244,234,193
15,131,149
255,201,23
184,134,140
72,198,255
89,109,95
194,0,118
253,255,0
67,72,95
123,153,189
117,0,132
88,114,2
78,163,79
195,175,0
9,162,157
189,212,217
171,255,214
126,210,0
209,90,119
255,0,34
255,92,194
161,114,68
73,128,255
160,109,188
215,209,255
163,59,54
200,165,188
255,132,43
155,141,160
203,191,166
208,90,206
5,86,184
254,92,89
116,212,162
104,107,196
132,63,102
0,161,252
9,147,99
239,148,221
30,85,50
182,217,117
168,0,239
254,171,99
255,159,150
151,169,178
255,22,149
0,103,112
151,142,212
105,80,0
82,255,170
170,184,255
60,67,0
85,72,45
47,91,0
80,0,108
255,216,255
99,37,17
0,59,113
210,163,152
99,155,132
0,206,180
103,75,122
151,224,209
160,114,143
135,89,202
220,255,199
224,236,255
94,126,161
173,174,123
148,141,110
114,111,62
133,2,190
195,252,83
255,226,223
66,85,88
213,242,229
0,195,215
220,140,170
165,57,93
193,9,57
130,87,89
51,0,187
188,72,0
199,106,71
154,0,162
68,101,151
198,133,0
141,183,217
172,188,179
208,164,110
209,101,164
201,158,218
96,193,112
119,25,52
251,0,244
116,169,5
80,51,113
69,133,62
103,70,86
211,126,233
132,235,100
180,36,152
139,156,81
119,122,133
89,255,249
152,222,239
255,217,138
118,64,33
220,121,124
106,166,178
67,82,65
112,135,206
107,57,181
159,130,4
103,98,134
216,217,208
78,119,120
181,136,107
171,82,173
183,179,187
202,178,254
118,81,253
185,195,220
65,0,126
48,99,84
57,64,161
250,75,121
120,134,121
160,93,13
217,27,0
255,125,90
0,234,41
100,44,67
152,200,135
122,56,124
234,187,191
224,216,92
146,80,58
219,227,153
82,131,105
213,62,140
1,111,148
206,185,221
131,99,152
219,6,251
94,2,91
75,113,70
171,118,235
137,157,149
72,145,198
166,191,0
0,75,91
90,75,202
159,232,169
166,136,188
221,144,65
96,94,72
116,35,94
139,131,66
91,178,161
204,166,67
105,73,64
109,102,109
122,182,254
165,156,36
191,66,83
34,115,0
227,109,39
70,225,217
155,85,107
155,0,24
57,77,125
92,84,103
135,144,160
143,80,135
141,34,84
245,233,248
